Timestamp,اسم الجهة,حكومي ، قطاع خاص ، اخر)نوع الجهة ),هل الجهة تقدم مكافأة؟,المنطقه والحي,طريقه التقديم,ما هي المستندات الي طلبوها ,هل بيئة العمل مختلطه؟,"تكلم/ي عن تجربتك مثلا
(المسمى الوظيفي، وش المهام الي كانوا يكلفونك بها ، المشاريع الي اشتغلت عليها، مزايا التدريب وعيوبه)",مدى استفادتك من التدريب بشكل عام,هل رح تنصح فيه ؟,التخصص
,,,,,,,,,,,
16/06/2025 16:11:07,جمعية عون التقنيه,قطاع خاص,لا,مكة المكرمه،العابديه,عبر استبيان,"خطاب, سيره ذاتية",نعم,"هندسه برمجيات،بدانا من التخطيط والتصميم الى برمجة لغة flutter,اغلب المهام تطبيقات بسيطه وممتعه ",5,نعم,علوم حاسب
16/06/2025 16:16:11,الامانة,حكومي,لا,makkah,يدوي,خطاب,نعم,.,3,ربما,ذكاء اصطناعي
16/06/2025 16:21:39,جمعية عون التقنية ,قطاع خاص,لا,مكة المكرمة العابدية - شركة وادي في حرم جامعة ام القرى ,عبر استبيان,"خطاب, سيره ذاتية, اخذ شهاده معينه",نعم,التدريب لم يكن مدرج تحت مسمى وظيفي فعلي ولكن يستهدف الطلبة في تطوير مهاراتهم,5,نعم,علوم حاسب
16/06/2025 16:27:26,.,.,لا,مكة,عبر استبيان,"خطاب, سيره ذاتية",نعم,.,3,ربما,هندسة برمجيات
16/06/2025 16:38:12,TeckWin تكوين,حكومي,لا,الزاهر,عبر استبيان,شرح مشروعين من مشاريع الجامعه وعرضها وقت المقابله,نعم,"Back end developer/ full stack

تم تكليفي بتعلم لارافل فرييم وررك ومسك مشروع مع مجموعه من بداية فترة التدريب ، اول خطوة كتابة الSRS وانشاء الداتا بيس ، برمجة الويب ورفع المشروع على السيرفر ، كان ف الفريق طلاب فرونت ايند ف سوينا لهم API واستخدمنا بوست مان ، وبرضو تعلمنا استخدام قيت هب واوامر القيت، تدريب مميز جدا ومفيد بالكامل",5,نعم,أمن سيبراني
16/06/2025 17:21:00,أمانة جدة ,حكومي,لا,جدة البغدادية ,يدوي,"خطاب, سيره ذاتية, السجل الأكاديمي ",نعم,"المهام كانت عبارة عن تحليل بيانات استخدمنا اكسل وبايثون سوينا داش بوردز على power Bi حلاوة المهام كانت متكاملة للأخير تستلمي بيانات خام وترتيب وتنظفي وتشتغلي عليها الين توصليها لمرحلة انك تعملي داش بورد وفي وقت متاح ماهو ضغط مره.
 
العيوب: ماكان في احد يعلم ويوجه ابدا يعني كله حيكون اجتهاد وتعليم شخصي في تطور نعم لكن اوقات الواحد يحتاج يلجأ لاحد خبرة أكثر منه في المجال، الشغل كله كان على اجهزتنا الخاصة",4,ربما,علم البيانات
16/06/2025 18:36:03,فندق فور بوينتس شيراتون ,قطاع خاص,لا,النسيم ، مسجد الراجحي,ارسال ايميل للجهة,خطاب,لا,"المسمى: متخصص it
التدريب كنت it في فندق وغالبا المستشفيات نفس السيناريو
التدريب من ناحية تخصصي ""ذكاء اصطناعي"" ماله اي فائدة نهائيا مافيه اي برمجه ولا اكواد ولا مشاريع برمجية ولا اي شي له دخل بالتخصص و اغلب الشغل كان فيزيائي ولكن انه ممكن يفيد الي تخصصهم هندسة حاسب لأن الشغل غالبا يكون شبكات واسلاك وتوصيل وسيرفرات ونت وغيرهم 
ولكن فيه بعض الاشياء العامه تعلمتها مثل كيف تفرمت اجهزة قديمه وكيف تحمل برنامج اوبيرا وتعرفت على الفندق والقاعات الي فيه ونظام السيرفرات والكهرباء فيه واغلبه كان شغل تربل شوت يعني مشاكل وطريقة حلها
ولكن من ناحية برمجية ما تعلمت اي شي ما انصحه للتخصصات البرمجيه لكن انصح الي تخصصه هندسة شبكات او امن سيبراني او شخص حابب يوسع علمه بمجال غير تخصصه انه يتدرب بفندق او بمستشفى وبيتعلم عنها الكثير

ملاحظة: الفندق بالبداية اصلا ماقبلوني لأن تدريبهم على كلامهم فقط للي اخر سنه يعني تتدرب تتخرج يوظفوك على طول ولكن بشوية اقناعات قدرت اتدرب عندهم وانا بالسنه الثالثه",2,ربما,ذكاء اصطناعي
16/06/2025 19:40:16,وزارة الحج والعمرة ,حكومي,لا,الحمراء ,فيتامين واو,خطاب,نعم,"مافيه مسمى وظيفي ، في البداية علمونا على طريقة عمل موظفين الصيانة والدعم الفني ، وبعدين كلفونا بمهام غير مفيدة 

طبعا السبب هو انهم مضغوطين في موسم الحج ، لحد يتدرب في وزارة الحج والعمرة الترم الثالث ، بيكونون مضغوطين ومحد فاضي لك كل يوم ",2,لا,تفاعل الانسان مع الحاسب
16/06/2025 19:55:36,امانة العاصمة المقدسة- الكعكية,حكومي,لا,مكة _ الكعكية,عن طريق واتساب,خطاب,لا,"المهام بسيطة جدا اغلبها نظري مهندس يتكلم عن شغلو وكذا أشياء بسيطة 
وفيه أشياء ممتعة زي تصميم الواجهات لكن قليل العملي ",3,ربما,علم البيانات
