جهة التدريب,الموقع,الإيميل,LinkedIn
الهيئات,,,
الهيئة السعودية للبيانات والذكاء الاصطناعي,https://sdaia.gov.sa/,info@sdaia.gov.sa,https://www.linkedin.com/company/sdaia-ksa/
الهيئة السعودية للمراجعين والمحاسبين,https://socpa.org.sa/Socpa/Contact-Us/Submit-Request.aspx,info@socpa.org.sa,
الهيئة العليا للآمن الصناعي,https://hcis.gov.sa/,info@hcis.gov.sa,
الهيئة العامة لعقارات الدولة,https://spga.gov.sa/,CS@SPGA.GOV.SA,
هيئة حقوق الإنسان السعودية,https://www.hrc.gov.sa/ar-sa/Pages/home.aspx,​​info@hrc.gov.sa​,https://www.linkedin.com/company/saudi-human-rights-commission/
هيئة تنمية الصادرات السعودية,https://www.saudiexports.sa/ar/pages/default.aspx,info@saudiexports.sa ; CC@saudiexports.sa,https://www.linkedin.com/company/saudi-exports/
هيئة تقويم التعليم والتدريب,https://www.etec.gov.sa/ar/Pages/default.aspx,Faq@etec.gov.sa,https://www.linkedin.com/company/etecksa/
الهيئة الملكية لمدينة الرياض,https://www.rcrc.gov.sa/,info@rcrc.gov.sa,https://www.linkedin.com/company/the-royal-commission-for-riyadh-city/
الهيئة السعودية للمواصفات والمقاييس والجودة,https://www.saso.gov.sa/ar/pages/default.aspx,info@saso.gov.sa,https://www.linkedin.com/company/sasogov/
هيئة المدن الاقتصادية السعودية,http://www.ecza.gov.sa/360/pages/ar/home,info@ecza.gov.sa,https://www.linkedin.com/company/ecza-gov/?originalSubdomain=sa
"هيئة المحتوى المحلي
والمشتريات الحكومية السعودية",https://lcgpa.gov.sa/ar/Pages/default.aspx,info@lcgpa.gov.sa,https://www.linkedin.com/company/local-content-and-government-procurement-authority/
هيئة السوق المالية,https://cma.org.sa/Pages/default.aspx,info@cma.org.sa,https://www.linkedin.com/company/capital-market-authority/
هيئة الاتصالات وتقنية المعلومات,https://www.citc.gov.sa/ar/Pages/default.aspx,info@citc.gov.sa,https://www.linkedin.com/company/citc_sa/life/e38a9f82-39a3-4cab-bb3e-ea72ba4a9f62/
الهيئة الوطنية لمكافحة الفساد,https://www.nazaha.gov.sa/ar-sa/pages/default.aspx,info@nazaha.gov.sa​​,https://www.linkedin.com/company/national-anti-corruption-commission-nazaha
الهيئة الملكية لمحافظة العلا,https://www.rcu.gov.sa/,rcuinfo@rcu.gov.sa,https://www.linkedin.com/company/the-royal-commission-for-alula/
الهيئة الملكية للجبيل وينبع,https://www.rcjy.gov.sa/ar-SA/Pages/default.aspx,,https://www.linkedin.com/company/royal-commission-for-jubail-and-yanbu/
الهيئة العامة للمنافسة,https://gac.gov.sa/,info@gac.gov.sa,https://www.linkedin.com/company/general-authority-for-competition/
الهيئة العامة للغذاء والدواء,https://old.sfda.gov.sa/ar/Pages/default.aspx,webmaster@sfda.gov.sa,https://www.linkedin.com/company/sfda/
الهيئة العامة للعقار,https://www.rega.gov.sa/,info@rega.gov.sa,https://www.linkedin.com/company/rega-sa/
الهيئة العامة للطيران المدني,https://gaca.gov.sa/web/ar-sa/page/home,HR-Support@gaca.gov.sa,https://www.linkedin.com/company/civil-aviation-authority_2/
الهيئة العامة للترفيه,https://www.gea.gov.sa/ar,info@gea.gov.sa,https://www.linkedin.com/company/general-entertainment-authority
الهيئة العامة للإعلام المرئي والمسموع,https://www.gcam.gov.sa,info@gcam.gov.sa,https://www.linkedin.com/company/general-commission-of-audiovisual-media
الهيئة العامة للإحصاء,https://www.stats.gov.sa/ar,info@stats.gov.sa,https://www.linkedin.com/company/general-authority-for-statistics-gastat
الهيئة السعودية للمواصفات والمقاييس والجودة,http://saso.gov.sa/ar/pages/default.aspx,info@saso.gov.sa,https://www.linkedin.com/company/sasogov
الهيئة السعودية للملكية الفكرية,https://www.saip.gov.sa,Recruitment@saip.gov.sa,https://www.linkedin.com/company/saipksa
الهيئة السعودية للمدن الصناعية ومناطق التقنية,http://modon/ar/Pages/default.aspx,info@modon.gov.sa,https://www.linkedin.com/company/saudi-authority-for-industrial-cities-and-technology-zones
الهيئة السعودية للفضاء,https://saudispace.gov.sa/,Info@ssc.gov.sa,https://www.linkedin.com/company/saudi-space-commission
الهلال الأحمر السعودي,https://www.srca.org.sa/,info@srca.org.sa,https://www.linkedin.com/company/red-crescent-saudi
الهيئة السعودية للتخصصات الصحية,https://ruh-wfe-01/Pages/default.aspx,,https://www.linkedin.com/company/saudi-commission-for-health-specialties-scfhs-
الهيئة الوطنية للأمن السيبراني,https://nca.gov.sa/,Info@nca.gov.sa,https://www.linkedin.com/company/national-cybersecurity-authority
الهيئة السعودية للسياحة,https://sta.gov.sa/,,https://www.linkedin.com/company/saudi-tourism-authority
الهيئة العامة للمنشآت الصغيرة والمتوسطة (السعودية),https://www.monshaat.gov.sa/,Info@monshaat.gov.sa,https://www.linkedin.com/company/monshaatsa
الهيئة العامة للأوقاف (السعودية),https://www.awqaf.gov.sa/ar,info@awqaf.gov.sa,https://www.linkedin.com/company/general-authority-for-awqaf
هيئة الزكاة والضريبة والجمارك,https://gazt.gov.sa/ar/Pages/default.aspx,info@zatca.gov.sa,https://www.linkedin.com/company/general-authority-of-zakat-&-tax
المؤسسات,,,
