طابع زمني,اسم الجهة,مقر الجهة,متطلبات القبول في الجهة,مدة التدريب,هل يوجد مكافأة؟,هل البيئة مختلطة؟,تكلم عن تجربتك مثلًا ( مسماك الوظيفي، القسم اللي تدربت فيه، المشاريع اللي اشتغلت عليها، مزايا التدريب وعيوبه إلخ ..),مدى استفادتك من التدريب ,التدريب منتهي بتوظيف؟,ملاحظات
5:16:53 م 2022/08/27,الاساليب الذكيه,مكه,سيرة ذاتية,7 اشهر,لا,نعم,مسار انترنت الاشياء تجربه سيئه وم استفدت كثير اشتغلنا على روبوت مسارات متداخله منها هندسه وذكاء اصطناعي وغيره ,2,لا,
5:34:08 م 2022/08/27,غرفة مكة المكرمه ,مكة المكرمه ,خطاب,٤٠ يوم ,لا,نعم,مبرمجه ومطوره - قسم التحول الرقمي - مشاريع ف تحليل المشاريع - تقارير من قواعد بيانات - ui&ux - سكيورتي ,5,لا,
5:36:12 م 2022/08/27,الابتكارات العالمية,وادي مكة,"سيرة ذاتية, مقابلة",شهرين,لا,نعم,كنت مصممة واجهات صممت مشروع واجهات موقع الكتروني وبعد الانتهاء من التصميم قمت بتحليل المشروع SRS,5,نعم,البيئة متعاونة ومحترمه جدا ومن اهم شروطها لما تجو تقدمو انكم تكونو ناس اخلاق ومحترمين بدون ماتسوو مشاكل 🏃‍♀️
6:36:19 م 2022/08/27,مستشفى الملك عبدالعزيز ,مكة قسم تقنية المعلومات في المستشفى ,خطاب,يتم التحديد من قبل المتدرب,لا,نعم,فنية دعم فني، قسم تقنية المعلومات، برمجة اكسل وتصليح الاجهزة والطابعات وفرمته للأجهزة ، العيوب ما كان في كراسي تكفي كل البنات لاننا كنا تقريبا ٢٠ متدربة، المزايا الصراحة اتعلمت اشياء كتير في الحياة ممكن ما كان شي انا رح اتخصص فيه بس كعملومات للتعامل مع جهازي الشخصي استفدت مرا كتير، حتى كان في برمجة لموقع خاص بالقسم.,5,لا,انا تقريبا لما دخلت المنشأة اتخصصت دعم فني بس في شبكات وبرمجة. وبالتوفيق
6:48:04 م 2022/08/27,سدايا,الرياض,"خطاب, سيرة ذاتية, بعض الإدارات تتطلب مقابلة لقبول المتدرب",٨ اسابيع,لا,نعم,عملت في ادارة تخص الأمن السيبراني وتعرفت على المجال عمليا ونظريا في أكثر من قسم، البيئة محفزة وتؤهلك لسوق العمل، الموظفين من الكفاءات السعودية الناجحة، عيب التدريب انه لم تكن ادارتي على علم بمجيئي مسبقا، ولكن أنصح بسدايا جدا.,4,لا,التوظيف ليس أكيد ولكن مع اني تدربت ومتبقي لي سنة بالجامعة الا ان ادارتي ابدت رغبتها بتوظيفي، هنالك متسع للمتميزين لتوظيفهم لدى سدايا، تقابلت مع أكثر من موظف كان متدرب مسبقا، والموظفين أيضا يساعدون المتدربين على بدأ حياتهم المهنية الناجحة بشتى الطرق
7:10:34 م 2022/08/27,الاساليب الذكية,مكة,"خطاب, سيرة ذاتية",٨ اسابيع ٢٢ يونيو، ٢٥ اغسطس,لا,نعم,"كان فيه ٤ مسارات، وانا اخترت مسار انترنت الاشياء
المسار المدفوع تقدري تاخدي شهادات.
كانت في مهام كثير في مساري بداية التدريب قالو سوي ٤ منها عشان تاخذي الشهادة بس بعدين قالو خلاص مهمتين تكفي، وسويت مهمة من مسار ثاني عشان اخذ شهادة.
في التدريب مو مهم تحضري او تكوني عن بعد 
صح انا كنت مع المدفوع بس ماكنت اروح حضوري، لأنو نفس الحضوري ناخذو عن بعد مره مايفرق، ما انصح تاخذو المدفوع لأنو عالفاضي 🙂
كان عددنا كبير فمحد منتبه انتي ايش سويتي او انتي فاهمة ولالا ",2,لا,
7:46:50 م 2022/08/27, smart method,d,خطاب,6 week,لا,نعم,iot,1,لا,تدريب زق لازم تدفع فلوس عشان يعلموك خذ دورة ولا انك تدخل عندهم
7:46:59 م 2022/08/27,الاسلبي الذكية,مكة,ولا شيء بس اقدم يقبلوك,شهرين,لا,لا,لا,1,لا,ابعد كل البعد عن التدريب ذا عشان مافي منو فادية 
8:19:01 م 2022/08/27,الاساليب الذكية,مكة - جدة - الرياض ,خطاب,٨ -٩ اسابيع,لا,لا,مسار انترنت الاشياء اشغلت على اربع تاسكات كل اثنين مع بعض  التدريب بشكل عام كان سهل بس في البدايه ضياااااع لازم الواحد يسأل ويستفسر ويكلم المشرفين عن اي شي ماعرف له ,3,لا,
8:29:21 م 2022/08/27,إيسار,عن بعد، فقط يوم واحد في الأسبوع حضوري,"خطاب, سيرة ذاتية, مقابلة",٨ أسابيع,لا,نعم,"تم تقسيمنا الى مسارات، مسار الويب، التطبيقات والتصميم. وأعطوا لكل مسار دورات، مثلًا الويب درسوا Laravel، التطبيقات Flutter، وهكذا.
بعدها طلبوا مننا نبني نظام، حلّلنا النظام مع المهندس مبدئيًا و بدينا، طبعًا كنا نستشير المهندس بالأغلاط اللي نواجهها، الوقت قصير كان فنوعًا ما التجربة ناقصة رغم انه استفدنا كثير و خيرونا اذا نبغا نكمل أسبوعين كمان عشان نستفيد أكثر.
أشوف انها كانت تجربة واقعية في بناء نظام مع فريق + المهندس كان خبير و استفدنا منه كثير",5,لا,
